date_holiday,holiday
01/01/2015,New Year's Day 
25/01/2015,Robert Burns Night (Burns Night)  
27/01/2015,Holocaust Memorial Day  
14/02/2015,Valentines Day  
17/02/2015,Shrove Tuesday (Pancake Day)  
18/02/2015,Ash Wednesday 
01/03/2015,St David's Day  
15/03/2015,Mothering Sunday (Mothers Day)  
17/03/2015,St Patricks Day 
29/03/2015,British Summertime (BST) Begins  
01/04/2015,April Fool's Day  
02/04/2015,Maundy Thursday 
03/04/2015,Good Friday 
05/04/2015,Easter Sunday 
06/04/2015,Easter Monday 
21/04/2015,Queen Elizabeth's Birthday  
23/04/2015,St George's Day 
04/05/2015,May Day (Early May Holiday) 
25/05/2015,Spring Holiday 
14/06/2015,Trooping the Colour  
21/06/2015,Father's Day  
14/07/2015,Emmeline Pankhurst Day  
15/07/2015,St.Swithun's Day (aka St. Swithin's) 
31/08/2015,Summer Holiday 
25/10/2015,British Summertime (BST) Ends  
31/10/2015,Halloween  
01/11/2015,All Saints Day 
05/11/2015,Guy Fawkes Night  
08/11/2015,Remembrance Day (Remembrance Sunday)  
30/11/2015,St Andrew's Day 
25/12/2015,Christmas 
28/12/2015,Boxing Day 
